,sigma,env: rf,env: S0
2023-09-29,0.005642649292316678,0.00021436657762152755,4288.05
2023-10-06,0.005642211061660971,0.00021587045473081545,4308.5
2023-10-13,0.005641745919590168,0.00021624633534500504,4327.78
2023-10-20,0.007413285702187767,0.00021474260011022928,4224.16
2023-10-27,0.007482980893648022,0.00021511858712019993,4117.37
2023-11-03,0.005543359818354232,0.0002136144261815076,4358.34
2023-11-10,0.005210181221234824,0.0002136144261815076,4415.24
2023-11-17,0.004851154405127771,0.0002132382972168667,4514.02
2023-11-24,0.004546144609346382,0.00021436657762152755,4559.34
2023-12-01,0.004546103467313457,0.00021436657762152755,4594.63
2023-12-08,0.004546103467313457,0.00021399051964765547,4604.37
2023-12-15,0.00454112905151058,0.00021399051964765547,4719.19
2023-12-22,0.004530368374693249,0.00021399051964765547,4754.63
2023-12-29,0.004530297285703599,0.00021624633534500504,4769.83
2024-01-05,0.004529547871214936,0.00021399051964765547,4697.24
2024-01-12,0.004464777425923624,0.00021436657762152755,4783.83
2024-01-19,0.004470008419370044,0.00021399051964765547,4839.81
2024-01-26,0.0044700041266621466,0.00021399051964765547,4890.97
2024-02-02,0.00447003645566545,0.00021210969726248585,4958.61
2024-02-09,0.004409208545188848,0.00021210969726248585,5026.61
2024-02-16,0.004406125600601079,0.00021173342623526104,5005.57
2024-02-23,0.004406000930616423,0.00021210969726248585,5088.8
2024-03-01,0.004394953880928791,0.00021399051964765547,5137.08
2024-03-08,0.00439492555300514,0.0002128621327464053,5123.69
2024-03-15,0.004394862564693317,0.0002132382972168667,5117.09
2024-03-22,0.004391395974831419,0.0002128621327464053,5234.18
2024-04-05,0.00439132583413037,0.0002113571196757924,5204.34
2024-04-12,0.005891350156921286,0.00021173342623526104,5123.41
2024-04-19,0.006802082358086453,0.00021210969726248585,4967.23
2024-04-26,0.00535051372244455,0.00021173342623526104,5099.96
2024-05-03,0.005349743026799996,0.0002128621327464053,5127.79
2024-05-10,0.004116833215669855,0.0002128621327464053,5222.68
2024-05-17,0.004116063941990061,0.00021248593276390615,5303.27
2024-05-24,0.004061661023861534,0.00021474260011022928,5304.72
2024-05-31,0.004061374780673058,0.00021173342623526104,5277.51
2024-06-07,0.004062100439206148,0.0002113571196757924,5346.99
2024-06-14,0.004061883545979406,0.0002113571196757924,5431.6
2024-06-21,0.004061738575574157,0.00020947505365698227,5464.62
2024-06-28,0.004061700423917346,0.0002113571196757924,5460.48
2024-07-05,0.004061493730944519,0.00021173342623526104,5567.19
2024-07-12,0.0040646504375165685,0.0002113571196757924,5615.35
2024-07-19,0.004612306207419846,0.00021173342623526104,5505.0
2024-07-26,0.0051965364302627125,0.00021210969726248585,5459.1
2024-08-02,0.008021047876553895,0.00021399051964765547,5346.56
2024-08-09,0.007086406370289878,0.00021399051964765547,5344.16
2024-08-16,0.005412347782409587,0.0002136144261815076,5554.25
2024-08-23,0.005412577369219617,0.0002128621327464053,5634.61
2024-08-30,0.0054125820590433344,0.00020909853376172016,5648.4
2024-09-06,0.0054125820590433344,0.0002042005349363052,5408.42
2024-09-13,0.005412400313689742,0.00019929650834193957,5626.02
2024-09-20,0.00541236759181624,0.00018871344643711652,5702.55
2024-09-27,0.005411764294940469,0.00018984869126059678,5738.17
2024-10-04,0.00568471969434973,0.00019400849074457938,5751.07
2024-10-11,0.005692073960947605,0.00019249633877160832,5815.03
2024-10-18,0.0056920067281820315,0.0001906053415035025,5864.67
2024-10-25,0.006886391571276457,0.00018947031225424737,5808.12
2024-11-01,0.008161999448101859,0.00018416923014275,5728.8
2024-11-08,0.0054423626997276665,0.0001822742761612428,5995.54
2024-11-15,0.005582509795838214,0.0001822742761612428,5870.62
2024-11-22,0.005582571839952182,0.00018303236589400917,5969.34
2024-11-29,0.004685275954470715,0.00018454811282642147,6032.38
2024-12-06,0.004635729976392384,0.00017734317432438473,6090.27
2024-12-13,0.004635736116753084,0.0001720259237441013,6051.09
2024-12-20,0.006586720383460222,0.0001720259237441013,5930.85
2024-12-27,0.005762865490696522,0.00017240596275103215,5970.84
2019-01-04,0.005762485497076125,9.411762964850467e-05,2531.94
2019-01-11,0.0057570684882868916,9.450517207554299e-05,2596.26
2019-01-18,0.005751960979630645,9.411762964850467e-05,2670.71
2019-01-25,0.005748914500280535,9.256708289151483e-05,2664.76
2019-02-01,0.0057413930969535815,9.450517207554299e-05,2706.53
2019-02-08,0.005741393079218373,9.52801438660611e-05,2707.88
2019-02-15,0.005742354621923578,9.52801438660611e-05,2775.6
2019-02-22,0.005706731689345364,9.52801438660611e-05,2792.67
