,v_0,theta,kappa,sigma_v,rho,lam,muj,sigj,env: rf,env: S0
2023-10-06,0.00040911185135568856,0.0005386400485211893,0.01477159341109583,0.029480944370870624,-0.34959395568759405,0.001826117823077562,-0.0007913092945021461,4.914705465782807e-07,0.00021587045473081545,4308.5
2023-10-13,0.00040732757887757643,0.0005388015733058769,0.014741135101393469,0.02947722268642878,-0.3541758829473193,0.0018088536179483232,0.00025703501987949857,4.914621178571008e-07,0.00021624633534500504,4327.78
2023-10-20,0.0004060027083416117,0.0005366216764510323,0.014742571761553098,0.02944549492154329,-0.36813882814706306,0.0018049026691692716,-5.570124974991725e-06,4.914490050702457e-07,0.00021474260011022928,4224.16
2023-10-27,0.00040585220473863534,0.0005366395776678746,0.01474284364468585,0.029444715735940694,-0.36772668090427907,0.0009004332027873815,0.0008519964888983098,1.8806765818979986e-08,0.00021511858712019993,4117.37
2023-11-03,0.0003987733974837098,0.000529296858556649,0.015104276057718868,0.03022340448949354,-0.40831084617749974,0.0008850891126750142,-7.568480020666237e-05,1.8806664634410988e-08,0.0002136144261815076,4358.34
2023-11-10,0.0003880688808674066,0.0005300931572571064,0.0150712447408005,0.030294092173068863,-0.43055868635987415,0.0008629441295443427,-2.5325201048316343e-06,1.8806372834422264e-08,0.0002136144261815076,4415.24
2023-11-17,0.00038621245904127524,0.000529310600605941,0.015064983886172209,0.030316223809017447,-0.45469659495146725,0.0004007196802705071,-4.072904128187995e-06,9.299280814573014e-10,0.0002132382972168667,4514.02
2023-11-24,0.0003833621788800928,0.0005281385039002076,0.015058741218853337,0.030376855364894373,-0.5448905531801881,2.4013503274261843e-05,-0.0018564046065183393,2.7891939579033897e-11,0.00021436657762152755,4559.34
2023-12-01,0.00037869581599769977,0.0005227130522035945,0.024534685510741543,0.0540363577294711,-0.9158885068200172,3.6932491570943615e-10,-3.69324956879576e-10,7.425324492169774e-10,0.00021436657762152755,4594.63
2023-12-08,0.00037849164622118215,0.0005184735455060645,0.024478915209079348,0.0538084351653451,-0.9845622468585207,1.8501321293761065e-09,2.539036630736859e-09,3.480186731045773e-10,0.00021399051964765547,4604.37
2023-12-15,0.00037436094580394326,0.0005121040801025766,0.02443054468633216,0.053600736641060326,-0.9904366065546203,1.0050358304501568e-09,-5.3173368975250496e-09,6.196483395687638e-10,0.00021399051964765547,4719.19
2023-12-22,0.0003740937467887226,0.0005125104991196162,0.02443894625368746,0.053588280806915314,-0.9894794440088672,8.462126269875472e-09,-7.380267147190778e-10,1.075229656542147e-09,0.00021399051964765547,4754.63
2023-12-29,0.00037470647957121145,0.0005126236127231324,0.0244369825293088,0.05358360476551129,-0.9894801493337562,4.231063134937547e-09,3.5362725400478325e-09,5.607346085967453e-10,0.00021624633534500504,4769.83
2024-01-05,0.00037475457613449817,0.0005103660665699972,0.02065003500348532,0.042868607017567686,-0.9627225845174601,4.1108409014174775e-10,-2.0405205751461517e-09,1.0236295307732563e-08,0.00021399051964765547,4697.24
2024-01-12,0.00037501352096773206,0.0004989174451782066,0.02066161894552986,0.043354544471806915,-0.986149627460619,4.7587265990475664e-08,-2.96682740411344e-07,1.3341540065518396e-07,0.00021436657762152755,4783.83
2024-01-19,0.00037562011758259504,0.0004976875483085269,0.02065762163627418,0.043403471695124096,-0.9923213161993538,4.2525374447789493e-11,-3.6133344261059386e-09,2.9914374017157183e-09,0.00021399051964765547,4839.81
2024-01-26,0.0003754538312089958,0.000498501345651645,0.02065809450116525,0.043472140724598075,-0.9910707093161618,1.0693101653724573e-10,-3.5974290883637593e-09,2.9917700749577843e-09,0.00021399051964765547,4890.97
2024-02-02,0.00037545367859212567,0.0004985013350477242,0.020658194255555182,0.04347214068216378,-0.9910707093169601,1.0693102793299135e-10,-3.5974290872383127e-09,2.9917700750609987e-09,0.00021210969726248585,4958.61
2024-02-09,0.0003782521706151231,0.0004889586015205458,0.019343777512416487,0.04065438158177638,-0.9892266275210192,3.6463591458020224e-09,-4.833193439741957e-09,2.9917700745826774e-09,0.00021210969726248585,5026.61
2024-02-16,0.00037889095966738793,0.0004887894440090425,0.019343584192405932,0.04065552069351835,-0.9892266063092108,3.6463592256858055e-09,-4.833193477657266e-09,2.9917700753835946e-09,0.00021173342623526104,5005.57
2024-02-23,0.00037873133288755806,0.0004890978922418983,0.019349819068157654,0.040738893692392704,-0.9892228702518605,3.646370726874889e-09,-4.528908233407782e-09,2.9917700743371937e-09,0.00021210969726248585,5088.8
