,sigma,lam,muj,sigj,env: rf,env: S0
2023-01-27,0.004654101392367275,0.05463925122833967,0.0007563890686604785,0.026078883811078844,0.00017886108646547605,4070.56
2023-02-03,0.003878002513492607,0.08624930112674892,0.00909445948426618,0.016406879791362988,0.00017886108646547605,4136.48
2023-02-10,0.005568436278663102,0.057236350396296945,0.0012295679009782436,0.02532788020672639,0.0001807576638885866,4090.46
2023-02-17,0.004847425906034332,0.05354310116918166,0.007010394015904301,0.024508446527124344,0.00017999914123811855,4079.09
2023-02-24,0.004992746975524346,0.05857487917953924,0.0032139668111333657,0.028292413646300356,0.000181516042177865,3970.04
2023-03-03,0.004814805628588088,0.05624457280340185,0.0001787013401975667,0.02746471725945705,0.00018416923014275,4045.64
2023-03-10,0.008547116587050358,0.05198624042133003,0.0026399683670951706,0.019706269661662997,0.00018644198605977103,3861.59
2023-03-17,0.008708340920352154,0.0565429303732102,-0.0011782052294301167,0.02342083004666889,0.0001674626262520018,3916.64
2023-03-24,0.006248856585765857,0.058751193023020135,0.0008774658220769987,0.027715389016398844,0.00016632098486990543,3970.99
2023-03-31,0.005242702592279827,0.05164800027428779,0.0029772772533455897,0.023993991744057048,0.00018379031143078706,4109.31
2023-04-14,0.0041515828383743795,0.05436816581003973,0.0012984956532082243,0.024782495507882706,0.00016670156834108774,4137.64
2023-04-21,0.004008964854891488,0.05162698628558286,0.000922116824606685,0.024181216179304108,0.00013115087748549747,4133.52
2023-04-28,0.004428897243374833,0.04596698046392414,-7.155280117649839e-05,0.021623339251002013,0.00016898430614076254,4169.48
2023-05-05,0.003831657286737732,0.05178546252705239,-0.00015346126476930107,0.023151404927482355,0.00021587045473081545,4136.25
2023-05-12,0.0034279209381446536,0.05152497340766614,0.000502033410053983,0.023158826874553607,0.00022338133879551414,4124.08
2023-05-19,0.0035904374924754534,0.051070103305864235,0.0008201310327212154,0.021455753889397418,0.00021699799022467658,4191.98
2023-05-26,0.0035182755639958825,0.05300834109707737,0.0009106737560077593,0.02380370986406468,0.000232001390587655,4205.45
2023-06-02,0.002958848966063016,0.049800533383879506,0.00015579225377393917,0.020595593465110855,0.0002042005349363052,4282.37
2023-06-09,0.0033183250144263126,0.05030319026678574,-0.000634922123286603,0.022211326541145958,0.0002030693720416199,4298.86
2023-06-16,0.0035114837752852294,0.049525868732075665,0.0005454180912543423,0.02149399611446258,0.00020042874257408805,4409.59
2023-06-23,0.0036226018770373777,0.046310056626086435,0.0050658690986730166,0.021166415441068356,0.00020005136690737224,4348.33
2023-06-30,0.0025242705726629833,0.049342295588786424,0.0007547033927717904,0.01992372964255496,0.00020269224637736727,4450.38
2023-07-07,0.003166462112178794,0.05100882127486845,0.001351146898265422,0.022777476353329558,0.00020570825281929217,4398.95
2023-07-14,0.0035019271361766916,0.05216678096394607,0.001179066518960876,0.024819694984542704,0.00020759209831888725,4505.42
2023-07-21,0.0030158268300899656,0.049703666542737855,0.000336738245292187,0.02076948668005787,0.0002098515379793664,4536.34
2023-07-28,0.0030041164978147575,0.05014383904571084,0.00011598447740254165,0.020856308046786752,0.0002113571196757924,4582.23
2023-08-04,0.0037489240005605298,0.04989731118971581,0.00467068893332925,0.018982461821362314,0.00021399051964765547,4478.03
2023-08-11,0.0035900305517147465,0.04728201895867314,0.012107076443884174,0.017955312321691785,0.00021399051964765547,4464.05
2023-08-18,0.004425286757238092,0.04655464395773103,0.002679453876046158,0.0227731056362016,0.0002136144261815076,4369.71
2023-08-25,0.0033705332965193718,0.05082219627149553,0.0011362826824883258,0.021817940242863047,0.00021474260011022928,4405.71
2023-09-01,0.0029305558779087705,0.049998138365752114,9.54117758345373e-05,0.022011446936875585,0.0002128621327464053,4515.77
2023-09-08,0.004015248621717717,0.043446075098401586,0.0005330044732314998,0.0204890462036057,0.0002132382972168667,4457.49
2023-09-15,0.003105876143252265,0.0491421456244833,0.00100065236694065,0.018346240922658345,0.0002128621327464053,4450.32
2023-09-22,0.004464681189384447,0.050466578727691946,0.00026636941077576363,0.02056857687270553,0.0002132382972168667,4320.06
2023-09-29,0.00423687057271729,0.05350090407358628,0.0007510986572344004,0.02433465671449569,0.00021436657762152755,4288.05
2023-10-06,0.00424634145539224,0.05497325617878107,0.0008643101467246249,0.026156377340928842,0.00021587045473081545,4308.5
2023-10-13,0.0030507532169738744,0.0523710633737513,0.0018025486574154161,0.025346457663264214,0.00021624633534500504,4327.78
2023-10-20,0.0057305312781478785,0.05352018606743018,0.0026420666301642803,0.02222843853947891,0.00021474260011022928,4224.16
2023-10-27,0.005253492620833987,0.05641851284420431,0.006668811588126377,0.024986490331737703,0.00021511858712019993,4117.37
2023-11-03,0.003973120805422512,0.04248061092794668,0.004173563567350683,0.021312362290958307,0.0002136144261815076,4358.34
2023-11-10,0.0030261410276488645,0.05049014317910867,6.914312956725948e-05,0.021578347627496858,0.0002136144261815076,4415.24
2023-11-17,0.0019044120942318756,0.04808075672574469,0.0017746481707500985,0.024935110282215026,0.0002132382972168667,4514.02
2023-11-24,0.003284500815613834,0.04985435311322984,0.00021399447175039026,0.020151105055600072,0.00021436657762152755,4559.34
2023-12-01,0.002948710465269212,0.0502424879052542,-0.00025068820531483794,0.021595468783805243,0.00021436657762152755,4594.63
2023-12-08,0.0026594891413125876,0.04943301370184123,0.0004737632292726504,0.020369318617927668,0.00021399051964765547,4604.37
2023-12-15,0.0010166519067684261,0.049203516684112276,-0.00047817346730352544,0.0250300440768124,0.00021399051964765547,4719.19
2023-12-22,0.0025603351036885087,0.04709095683284941,0.0007873073890272463,0.02088429610925793,0.00021399051964765547,4754.63
2023-12-29,0.002591291823292892,0.048939708512201384,0.0003926628255976849,0.019619360550773776,0.00021624633534500504,4769.83
2024-01-05,0.0031780482144473632,0.05029638300627083,0.0009633774816982441,0.022189143824156595,0.00021399051964765547,4697.24
2024-01-12,0.0027419413460716135,0.049840409699171556,0.0006127008906540974,0.020676388892203947,0.00021436657762152755,4783.83
2024-01-19,0.0027362387069597718,0.04976715933403083,0.0002774415185362513,0.020445648196188385,0.00021399051964765547,4839.81
2024-01-26,0.0029644528667212757,0.05017554627659039,0.00011979519165322061,0.020890306863976214,0.00021399051964765547,4890.97
2024-02-02,0.0026504191395298146,0.04875907485477516,-4.185973518084627e-05,0.01844360115539687,0.00021210969726248585,4958.61
2024-02-09,0.002543334873550861,0.04840315520020454,-0.0002644210640950923,0.019520214465329807,0.00021210969726248585,5026.61
2024-02-16,0.002769762076474541,0.04932683604056311,0.0010461428090366718,0.02051721463513619,0.00021173342623526104,5005.57
2024-02-23,0.0028648111914159817,0.049445508976873324,0.000262112754612458,0.020047493043602413,0.00021210969726248585,5088.8
2024-03-01,0.0026214286537438753,0.04940976361527722,0.00045634715570958115,0.020324789767968594,0.00021399051964765547,5137.08
2024-03-08,0.0033814927950481556,0.045714322191792854,0.0012550049297015645,0.021189122682842607,0.0002128621327464053,5123.69
2024-03-15,0.0030373454568180954,0.05175791522611103,0.0009390900129937791,0.02195044325125583,0.0002132382972168667,5117.09
2024-03-22,0.0028027631174186948,0.04954831437347044,0.0009540827542909847,0.02106776604306034,0.0002128621327464053,5234.18
2024-04-05,0.003549382976432709,0.045882784391385475,0.0008999300607044387,0.022136316951276803,0.0002113571196757924,5204.34
2024-04-12,0.005729131444560401,0.03282247149825961,0.004165071040629522,0.0161817590763324,0.00021173342623526104,5123.41
2024-04-19,0.00528812562311859,0.049888463595370205,0.004893711425741979,0.020794652519400308,0.00021210969726248585,4967.23
2024-04-26,0.0032094578242403437,0.05029375913000669,0.000652510080238077,0.02163211125157694,0.00021173342623526104,5099.96
2024-05-03,0.0038050621875846545,0.041915456397120805,0.0047045464214917005,0.019774222317128057,0.0002128621327464053,5127.79
2024-05-10,0.0023969148211263986,0.049576017451134685,0.0005568353237472492,0.022196485061247898,0.0002128621327464053,5222.68
2024-05-17,0.0023146769273802836,0.048390904714968486,2.7025901630117267e-05,0.018646077722416665,0.00021248593276390615,5303.27
2024-05-24,0.002355305937474765,0.04851951948658565,-0.0005594510474230663,0.018667530137758487,0.00021474260011022928,5304.72
2024-05-31,0.002841010096064228,0.049194522345404106,0.00013282450611587206,0.02013621866346851,0.00021173342623526104,5277.51
2024-06-07,0.002533256112671336,0.04891353435041691,0.00017583100855451204,0.019701724541194888,0.0002113571196757924,5346.99
2024-06-14,0.0026668054036983898,0.04918795345521614,-0.0008483127841659682,0.019971362607966513,0.0002113571196757924,5431.6
2024-06-21,0.0034180043087726386,0.04485472381872824,0.00046738905237206927,0.020076318267375635,0.00020947505365698227,5464.62
2024-06-28,0.0036341402872672912,0.041831902779188634,0.0034649743192510067,0.01594600424142368,0.0002113571196757924,5460.48
2024-07-05,0.0023205332139476765,0.048505779249300725,-0.00021912393427073873,0.01910142763803784,0.00021173342623526104,5567.19
2024-07-12,0.0026320520089545534,0.047922039118475104,0.000927295850670171,0.021232157105229323,0.0002113571196757924,5615.35
2024-07-19,0.004808424873218826,0.038719567523799826,0.0013552284278680056,0.015348540455460918,0.00021173342623526104,5505.0
