,mu,omega,alpha[1],beta[1]
2021-12-22,0.0982593481511651,0.18509387800190816,0.22284493022263718,0.5091195503269679
2021-12-23,0.09924830184779428,0.18572623229359658,0.2185270211511121,0.5106806507021947
2021-12-27,0.10044573526985165,0.17844320046517298,0.21554655889359195,0.5271393152525863
2021-12-28,0.09853419363539428,0.1771103167582448,0.21088868745177122,0.5313229771000195
2021-12-29,0.10054579529627367,0.17479837966774078,0.20935126437902596,0.5340285608619003
2021-12-30,0.10010123828620295,0.17606763423544228,0.21574868252089674,0.5247013962217796
2021-12-31,0.09894159158558136,0.18166592624386332,0.22515814891875444,0.5058676099612485
2022-01-03,0.10665798219154422,0.1844131250622998,0.2275238586745556,0.4988816296949771
2022-01-04,0.10412673089150642,0.18296661236026995,0.2296929040998235,0.49749810870609434
2022-01-05,0.09330651317100133,0.2016034631568967,0.21863413411045202,0.4909873084429376
2022-01-06,0.087267543456803,0.19382016554613185,0.2089499816698439,0.5087683867383667
2022-01-07,0.08480605077401414,0.19552839797697058,0.20697953482145973,0.5069001536285161
2022-01-10,0.08631060334314256,0.1975334899425987,0.20698513301993574,0.5028447471350074
2022-01-11,0.0898704690256602,0.190180479568265,0.19994002744727307,0.5210154751023168
2022-01-12,0.0904887286849115,0.18256931987461653,0.19400300752182334,0.5359736332723585
2022-01-13,0.08328271028642636,0.16734127792381184,0.1803628962923518,0.5756578713901533
2022-01-14,0.0832304270141069,0.1541743484474072,0.16855117356536145,0.6032061994157902
2022-01-18,0.07719177355230257,0.14172057709884786,0.16807569556244267,0.6282506364655788
2022-01-19,0.07304787133286589,0.1477765218273533,0.1684702177479295,0.6179885752370963
2022-01-20,0.07179626958379816,0.13118621928681484,0.16735283958553904,0.6420445817089552
2022-01-21,0.07199671266978883,0.13107352603341804,0.1893361985962083,0.625817594567277
2022-01-24,0.07364950360159578,0.14032770086673707,0.20453265346747493,0.5947803390366433
2022-01-25,0.07399472928066513,0.15834162699178878,0.2365048992543233,0.5397279718664606
2022-01-26,0.07547814292373553,0.16008183317459707,0.23156940527465916,0.5395285108630965
2022-01-27,0.07373943034624397,0.16540372657072094,0.233579682555504,0.5265045978450443
2022-01-28,0.09376455998158092,0.13213743066757241,0.2085590372605447,0.6100137858515873
2022-01-31,0.09316672637567841,0.12717446565404436,0.20973098612706126,0.6183790621320514
2022-02-01,0.09038733011745914,0.12197496750322279,0.2014563317816314,0.6322925712864869
2022-02-02,0.09104498393555904,0.12872343645318304,0.2057443341257532,0.6178757381254568
2022-02-03,0.07788057534609658,0.1112717642448066,0.2083145621289652,0.65131111671164
2022-02-04,0.07617529989805084,0.11282644836434934,0.20123544202036958,0.6537129295684576
2022-02-07,0.07256593331150117,0.11487865164874385,0.1977938281922921,0.6528109218615435
2022-02-08,0.07482493449650461,0.11648657058340879,0.19359694002630196,0.6536240332333286
2022-02-09,0.07814651622761934,0.10881955339408536,0.184334477276992,0.6742839614667269
2022-02-10,0.07345381977968296,0.09585038640562027,0.174515046938414,0.7042049530006019
2022-02-11,0.07065319816996721,0.08709786659209003,0.16913283114550545,0.7228731428211002
2022-02-14,0.0708257409200223,0.07710190250910054,0.15141647180583626,0.7499152655291639
2022-02-15,0.07447836064777925,0.07107304905361342,0.14489644964945755,0.7635300005483802
2022-02-16,0.07572240087468478,0.0696232580913725,0.13925769312758493,0.7682932574842117
2022-02-17,0.07281754339210746,0.06481393823874616,0.1399184439227669,0.7764830210144384
2022-02-18,0.07254460636223041,0.06564622923359374,0.13793025964888272,0.775412921601639
2022-02-22,0.07163240232665835,0.06851613522326079,0.1413454425698235,0.767043691048496
2022-02-23,0.06941221850793089,0.06822612895829992,0.14416543915179117,0.7659461924455488
2022-02-24,0.07739444115326632,0.06546000013204999,0.1407263494163172,0.7741602132340037
2022-02-25,0.08105723396962572,0.06736821157111875,0.149802227217458,0.7647690951283237
2022-02-28,0.07544523912940854,0.06674755690292135,0.1475329017686342,0.7678511040945919
2022-03-01,0.07464899485365364,0.06627774207733428,0.1482301433792899,0.7681455450019979
2022-03-02,0.08031366216266317,0.06497792960375244,0.14801849129272487,0.7710546686425112
2022-03-03,0.08414497932196263,0.06362341318455865,0.14133851984888915,0.7778146490510137
2022-03-04,0.07870452040770302,0.06383578534858105,0.13987760585867226,0.7792451318226591
2022-03-07,0.0762662329146631,0.05441513935307799,0.1393832752192304,0.7985314387823417
2022-03-08,0.07047863750052202,0.0546465953567816,0.1363003621743121,0.8007473219803911
2022-03-09,0.07212127878083709,0.05418458175952238,0.14160079232921532,0.7985183902073235
2022-03-10,0.06699519229827551,0.05465173664465394,0.1383391311355512,0.8001128973500321
2022-03-11,0.06583223068157586,0.05421489221535606,0.13883424211052114,0.7999156606695598
