,mu,omega,alpha[1],gamma[1],beta[1]
2022-09-26,0.06734450130487388,0.035243763263853777,0.11674817896043464,0.2066331777636344,0.7737259139584572
2022-09-27,0.06928797671160955,0.03549988159785748,0.11714948102041145,0.20519167479048916,0.7733279303612974
2022-09-28,0.06989391334513721,0.03585429558718498,0.11692953930789501,0.20569249454247887,0.7729420195951665
2022-09-29,0.06818527514716909,0.03593085354475573,0.11639952045575393,0.20606069409003494,0.7735125409088475
2022-09-30,0.06758329010742078,0.03640028792532139,0.11607486180308305,0.20629221272781836,0.7731287630100269
2022-10-03,0.06681226148564584,0.03662228997154374,0.11589308367298287,0.20727807177185645,0.7729202470130684
2022-10-04,0.06600160193748213,0.03678371325055236,0.11648936260658391,0.2079513499906067,0.7724813756246298
2022-10-05,0.06505666188964766,0.037270156407264075,0.11505095301620151,0.20862066298591228,0.7726255872650438
2022-10-06,0.06445840056274656,0.037717576703507324,0.11439189706174897,0.20948168508361936,0.772245503743801
2022-10-07,0.0617966753723946,0.037265869487324306,0.11532317108462858,0.20789969850596624,0.7733890107019866
2022-10-10,0.06252622107650116,0.03765947616681847,0.11472799784340822,0.20677836292399523,0.7735351555022538
2022-10-11,0.06389217268139617,0.03798096266682731,0.11451156231630512,0.20582705098213464,0.7734043241153424
2022-10-12,0.06282845256148128,0.03858170342619258,0.11400019514187403,0.2053849059923086,0.7731571755244036
2022-10-13,0.06257711172123773,0.03887494524260158,0.11341654738642651,0.2064248386724967,0.7732024554167388
2022-10-14,0.06353397796057178,0.03908469419164366,0.11396752973315641,0.2065347199061846,0.7727342828814816
2022-10-17,0.0635523605629182,0.03959867142601137,0.11398237888246511,0.20740071742863678,0.7719705227262483
2022-10-18,0.06298891514466458,0.04011554622040871,0.11313145406591532,0.20753029100503995,0.7718849416937568
2022-10-19,0.06265395293744246,0.04064852490642332,0.11248189523480732,0.20803129512124077,0.7714628801372733
2022-10-20,0.06230154338934342,0.041088480968064285,0.112107054958539,0.20856816370716957,0.7709663835531761
2022-10-21,0.06287113012423359,0.04109646404455736,0.11251205732489841,0.20850914013637528,0.7708987043658909
2022-10-24,0.06174890402702405,0.041293375365341556,0.11200491096156981,0.2088795268348245,0.7709542606660288
2022-10-25,0.0634909289448265,0.041299330451241865,0.11210956044071403,0.20867296719559894,0.7709088053007541
2022-10-26,0.06297603171256022,0.04167821197832391,0.11162020427511553,0.21006416932020264,0.7703089523725102
2022-10-27,0.0645964427202476,0.04173135995535791,0.11090964018360179,0.21078415414247567,0.7703398385902348
2022-10-28,0.06535593364417785,0.04139588551969021,0.11210734665951015,0.20843757978264887,0.7711268688229426
2022-10-31,0.06292708940022333,0.04115556695221285,0.1118293299286679,0.20709441735694603,0.7722420963409806
2022-11-01,0.06435639759004336,0.0413907749059716,0.11107766896897553,0.2085245360793556,0.7718656342055763
2022-11-02,0.06369843256560187,0.041329218916799165,0.11266918800962986,0.20512255557361894,0.7727387476727341
2022-11-03,0.06296643882391964,0.04178546362610663,0.1118321344410107,0.20455342654808745,0.7730098324350597
2022-11-04,0.06316038582235732,0.04221759766932463,0.11149512713975082,0.20396003415987798,0.7729019670557005
2022-11-07,0.0625148313336558,0.042607031396473434,0.11101388012064016,0.20342607373854948,0.772969379961584
2022-11-08,0.06240810467473249,0.04305192826048278,0.11063063344750752,0.20316695397914966,0.7727189426876185
2022-11-09,0.06193192845531821,0.04308046737932703,0.11031490377843557,0.20365687838678148,0.7731603880869389
2022-11-10,0.06297789738206598,0.04340613011072175,0.11285118903947212,0.2166255433396681,0.7682226605747632
2022-11-11,0.0638759731742555,0.04352052690311959,0.11117861714615032,0.21739896521904328,0.7688770248983217
2022-11-14,0.06391799007600873,0.0437240711280461,0.10979596714325113,0.21806602758221846,0.7692911119640304
2022-11-15,0.0637669756350126,0.043948506972334704,0.10875713713537394,0.21884707827755634,0.7694005986603649
2022-11-16,0.06399712225183168,0.04417305596991678,0.10807557988862387,0.21982030120825594,0.7691871190045491
2022-11-17,0.06528172212565334,0.04435293294164919,0.1071711893574012,0.22079484636181512,0.769109406690303
2022-11-18,0.06406934414707811,0.04461472886861044,0.10692136660476204,0.22093647985841838,0.768952087508196
2022-11-21,0.06451060665698145,0.045034109803312454,0.10669627730877826,0.22255337247245874,0.7679584784198087
2022-11-22,0.06460968428733418,0.045101006704936684,0.10689545214843556,0.22247612262679942,0.7678210811418018
2022-11-23,0.06377596709955496,0.045424374764332524,0.10674485473949126,0.22348874963634416,0.7672140949202868
2022-11-25,0.06375980407739668,0.04587508338894905,0.10680779532570171,0.22586090907676193,0.7657276614994952
2022-11-28,0.06224869515087181,0.045370889833107365,0.10650335261046832,0.22246624730678566,0.7681757891929778
2022-11-29,0.06200704684167019,0.0456126844970784,0.10665639836306384,0.2225069096820687,0.7676550910103523
2022-11-30,0.06246501970349122,0.044932431605529156,0.10747114218684688,0.2222266717153946,0.769005300452568
2022-12-01,0.06224699520338136,0.045243446103066014,0.10609145602658958,0.22333557135537505,0.7691546490676631
2022-12-02,0.060784950676731654,0.045349136460817126,0.10535360181944711,0.22302483871297427,0.7697150794998332
2022-12-05,0.0609156881269619,0.04543294339167096,0.10683614322934942,0.22138390005864644,0.7694749493886055
2022-12-06,0.060841069193539106,0.04575354873100421,0.10676692147209076,0.22182290879387467,0.7690958758723554
