,mu,omega,alpha[1],beta[1],nu
2023-11-29,0.11518217593698526,0.03324103198201421,0.17940834916845197,0.8093249191468499,7.1977373277713514
2023-11-30,0.11574435195201668,0.03331397539299939,0.18068235258413243,0.80793521935951,7.233392592402316
2023-12-01,0.11634168083108835,0.03331430969496227,0.1808624682775973,0.8079875318116899,7.177512306995159
2023-12-04,0.1149747177098239,0.033575490078320315,0.1803710746314992,0.8077606354477951,7.275163184348933
2023-12-05,0.11459820785556793,0.03349959186805075,0.1810379687212774,0.8070245918836108,7.2963149496808395
2023-12-06,0.1134880210988188,0.033671442750301504,0.181241987843009,0.8064554291653346,7.3415110616366785
2023-12-07,0.11504417483853387,0.03397204555427982,0.18250814541031377,0.8056333938675044,7.319929622761574
2023-12-08,0.11580039333065278,0.03381481515237233,0.18261472749646454,0.8054158803390831,7.343875811032981
2023-12-11,0.1170596839545105,0.03379301044167652,0.18427932352830717,0.804525940769929,7.254469109473911
2023-12-12,0.11787723836496866,0.03348828470948598,0.18372893982543287,0.8049245890721345,7.290124003823547
2023-12-13,0.11875339708131012,0.034612036348570394,0.1825658413713359,0.8047367516569617,7.341672291208151
2023-12-14,0.11922657113205043,0.0343332716289712,0.1814779162987102,0.8055393515542264,7.338393456629046
2023-12-15,0.11946615795972489,0.03415481393713068,0.18091559088921397,0.8058442834494323,7.334049303522449
2023-12-18,0.1205249720053816,0.033966391588858995,0.18071342131268994,0.8061777137207187,7.288332603363011
2023-12-19,0.12178546808170745,0.03389909313582017,0.18081114652663505,0.8062452179887207,7.248575022561818
2023-12-20,0.11919291152611651,0.03526970012752543,0.1809886200209109,0.805056133405196,7.268044825362197
2023-12-21,0.12018098974340981,0.03544455338121015,0.18116175359045475,0.8046730478382993,7.268464943940135
2023-12-22,0.12056891886766816,0.035237601043848155,0.1798134701244751,0.8057680642864461,7.220296593321513
2023-12-26,0.1213351900511861,0.03492705018954043,0.17834054779845895,0.8072006512480591,7.1492453915039365
2023-12-27,0.12213824569821524,0.03409669435453219,0.1751728288462946,0.8107393377261178,7.0004021988105
2023-12-28,0.12198406164048615,0.03286259661731103,0.17319675539661164,0.8145126848914113,6.915441190000025
2023-12-29,0.12099215555802231,0.0327792639584643,0.1733268423703946,0.8142600945401246,6.9441003101690555
2024-01-02,0.11988404387156035,0.032981133823660885,0.17373657665506723,0.8133693942375614,7.046701402744671
2024-01-03,0.1185043756202395,0.03336642594981026,0.17408248465440368,0.8125397714824323,7.1260551399589875
2024-01-04,0.11771176605712305,0.03361748510325702,0.17528232090298143,0.810958323042062,7.202261058703085
2024-01-05,0.11890581733981502,0.03248003609926244,0.17139509382293666,0.8155277481240913,7.050663507786195
2024-01-08,0.12108571267379599,0.033358524328083006,0.17331738604227986,0.8136655498656417,7.298624055684185
2024-01-09,0.12006132917303847,0.03311370942675008,0.17257716340846654,0.8144241751795146,7.27346017643391
2024-01-10,0.11966238683027938,0.03318314860452341,0.17279062421263555,0.8142786904181853,7.238608441651682
2024-01-11,0.11899102086400012,0.03283580613671018,0.1722418152469038,0.8148957861604547,7.234031007140866
2024-01-12,0.11854486805855455,0.03250273041706568,0.1721098914526487,0.8151799913469124,7.222511689945232
2024-01-16,0.11781986900717036,0.032324389615137276,0.17216094398921655,0.8151327003610737,7.254649108833687
2024-01-17,0.11739122381896012,0.032343720726495495,0.17192274677231456,0.8152625978158516,7.270924734036249
2024-01-18,0.11774731263141143,0.032546324565974186,0.17189677519639243,0.8151951874783758,7.2630991202434885
2024-01-19,0.11865142839852375,0.03290430496379508,0.17274420711523705,0.8141401693473622,7.330822763074264
2024-01-22,0.11841339402896232,0.032583426087465166,0.17199017076428716,0.8149337530079763,7.298548166569486
2024-01-23,0.11781006889853303,0.03217655265903971,0.17047869177988031,0.8166219750291369,7.223687697563744
2024-01-24,0.11976230496626648,0.032382065638730674,0.17115069462349353,0.8161539103798465,7.170259835746697
2024-01-25,0.12025636905951664,0.032160304165047955,0.17135838267215828,0.8160276656114921,7.196007340339712
2024-01-26,0.12001992413448101,0.0318831709357953,0.17200133215087074,0.8156164105101508,7.2048145466585245
2024-01-29,0.12022405301487994,0.03190697910470903,0.17154400064623426,0.8159710425881519,7.205269871649633
2024-01-30,0.12134552958561,0.03158948510330295,0.171180671521146,0.8166945019199977,7.128525656455264
2024-01-31,0.1193995378082353,0.03272624397192063,0.1707956016265013,0.8165047569259196,7.090420669755213
2024-02-01,0.11936263097122428,0.033060707647011876,0.17141261757919427,0.8159347968418725,7.128705822575259
2024-02-02,0.11880739473163004,0.03327288471311138,0.1717620460829732,0.8155881961133187,7.118782243923178
2024-02-05,0.11847110661191722,0.03307054922376619,0.17119489921153477,0.8160368809423437,7.137044071004865
2024-02-06,0.11768145991127303,0.03290738256968456,0.1703810776028226,0.8167973976447472,7.1002158761776855
2024-02-07,0.11775218410823439,0.03288031250874461,0.17055679143581648,0.8165926834868154,7.1230062624533765
2024-02-08,0.11844038534306073,0.03274032440955556,0.17068075333109645,0.816490219868007,7.108501453801095
2024-02-09,0.12095628316379468,0.03273253762613441,0.17041847625920165,0.8169661722758927,7.0277600019042525
2024-02-12,0.12080227386793028,0.03268026706739923,0.1710795180691486,0.8162879384726232,7.048951032673254
2024-02-13,0.11900545806244268,0.032984929023476196,0.17070751839116788,0.8165509824980524,7.102691299202189
2024-02-14,0.11816437943272429,0.033003529616797506,0.17059979224517466,0.8168493344459792,7.100480768055901
2024-02-15,0.11813660578230731,0.03298216393339893,0.17042200623503054,0.8168621549570904,7.112839778666133
2024-02-16,0.11830495457674586,0.03300180976585624,0.17049309453854622,0.8167253858481658,7.1158584275909265
2024-02-20,0.11559884704800615,0.03317704611274343,0.17126673830276704,0.8161977027425783,7.110832511870727
2024-02-21,0.11549665052474593,0.03320350701066864,0.17081763794021873,0.816355338916631,7.108801476259274
2024-02-22,0.11687529667862422,0.03361143467400321,0.1708686562351304,0.8166163219456104,7.07828727675048
2024-02-23,0.11801188978740655,0.03350425621922084,0.16982426736908934,0.8175148977693565,7.035006969028455
2024-02-26,0.11653294175836366,0.03355364536241499,0.16935302868904187,0.8178291207364935,7.019394135125902
2024-02-27,0.11677146478229175,0.03339189273410639,0.16847637784636244,0.8184821418379788,7.016995383519703
2024-02-28,0.1170473615619229,0.03325195386633935,0.1681361485764736,0.8187270559067374,7.014173105932788
2024-02-29,0.1179281104505682,0.03311796722477787,0.16816326419275915,0.8186848274441798,7.017155926015297
2024-03-01,0.11933405269313264,0.033050777909663084,0.1681952916932227,0.8186733722548796,7.024377333448612
2024-03-04,0.11841154550474114,0.03297879446415969,0.1683370851448247,0.8185752948090079,7.001632968616667
2024-03-05,0.11775286876838456,0.033003193029609613,0.1675968059680099,0.8192522924392827,7.035670368825029
2024-03-06,0.11850700895062614,0.03285082518579794,0.1677240507247632,0.8191296612036297,7.041007600471539
2024-03-07,0.12030555012177409,0.03288765931816804,0.16768297924586714,0.8192300181353452,7.0320648760403595
2024-03-08,0.12078982189531846,0.03289763745991765,0.16747810917117564,0.8195270635554359,7.000350375101571
2024-03-11,0.1207762738217794,0.032772691438617205,0.16761968791570217,0.8193609324764307,7.004704278027825
2024-03-12,0.12088255343677716,0.03328920520318809,0.16890162770609415,0.818303207180739,6.984079809249133
2024-03-13,0.12009605071717477,0.03311213620201492,0.16836967040496123,0.818704126306434,6.999472492009312
2024-03-14,0.11869582295024877,0.03307621501286862,0.16828061849918632,0.8187946505537604,6.985607389631731
2024-03-15,0.11796035586432763,0.03301993927946034,0.16800163794561535,0.8189066995094995,7.045198054135093
2024-03-18,0.11794417290191425,0.03290401033957301,0.16795182772325723,0.8189184529144986,7.064769397695354
2024-03-19,0.11818060853713426,0.03278504547467198,0.1682059892375017,0.8186267889724624,7.094989657141835
2024-03-20,0.11917398038845929,0.032898547600765694,0.16883645979338704,0.817832908764319,7.158983495874409
2024-03-21,0.12001433508383526,0.03281760957176865,0.16943901206164355,0.8172616626250844,7.155138733891246
2024-03-22,0.11898370496908556,0.032317198552267924,0.1681820450516332,0.8188228875453837,7.083932962403355
2024-03-25,0.12095544136671914,0.031104301621507742,0.16572110307241744,0.8221646406770611,7.1824002110821805
2024-03-26,0.12058902453683247,0.031120333693155342,0.1662420523041627,0.8216286883922846,7.19627854207553
2024-03-27,0.12057499896539907,0.031266299234411495,0.16579154983841987,0.8219208051697604,7.207399956966997
2024-03-28,0.1220382559523115,0.03106097339655291,0.165925649776486,0.8220919527108802,7.148176846187641
2024-04-01,0.12082672861481827,0.031074849332828284,0.16648397308828988,0.8215251070050671,7.16280321471386
2024-04-02,0.11842707112720054,0.03138557166573964,0.16576971009502453,0.8218463853400524,7.19831840618805
2024-04-03,0.11635719089718476,0.03083452786032549,0.16578040116175552,0.8227709785273922,7.128519153605297
2024-04-04,0.11550467902214664,0.03196349331508015,0.16551499005045542,0.8220790957859216,7.1751490254231545
2024-04-05,0.1161704268951588,0.032515629898409976,0.16625552001295169,0.8208979943690503,7.230491006384192
2024-04-08,0.11567498031606231,0.03253827721071295,0.16552044500122007,0.8213031236182757,7.231998120480401
2024-04-09,0.11485956849854922,0.03251215458997879,0.1650298393773108,0.8216437741859844,7.213811798434025
2024-04-10,0.11387736457689496,0.033059744394557514,0.16549703804012916,0.8207228761393853,7.284341341706588
2024-04-11,0.11619528271244128,0.033149996751829114,0.16596406670355754,0.8204863602738163,7.2364417155868175
2024-04-12,0.11458427735973972,0.03389108024127159,0.16695026947490973,0.8192512771679094,7.289115915185247
